"","x.state","sex","x.race.g1","diabete3"
"3.44.1",44,1,3,0.0663085572292148
"4.44.1",44,1,4,0.0867981628486892
"5.44.1",44,1,5,0.0709447228785228
"1.45.1",45,1,1,0.128735589522952
"2.45.1",45,1,2,0.149080901357829
"3.45.1",45,1,3,0.0163522882611973
"4.45.1",45,1,4,0.130089139673236
"5.45.1",45,1,5,0.109414996203367
"1.46.1",46,1,1,0.0895367609637839
"2.46.1",46,1,2,0.0230557700722937
"3.46.1",46,1,3,0.028466639374726
"4.46.1",46,1,4,0.0725707957163848
"5.46.1",46,1,5,0.0389968131507565
"1.47.1",47,1,1,0.137250304425022
"2.47.1",47,1,2,0.111789965392428
"3.47.1",47,1,3,0.0932360906032142
"4.47.1",47,1,4,0.180723042691425
"5.47.1",47,1,5,0.189950141718773
"1.48.1",48,1,1,0.106539443270049
"2.48.1",48,1,2,0.15852290744244
"3.48.1",48,1,3,0.106392881938709
"4.48.1",48,1,4,0.120165679677641
"5.48.1",48,1,5,0.047316072933203
"1.49.1",49,1,1,0.0816608968693909
"2.49.1",49,1,2,0.108184302759616
"3.49.1",49,1,3,0.0558728653728646
"4.49.1",49,1,4,0.0818178560299394
"5.49.1",49,1,5,0.0748034224471208
"1.50.1",50,1,1,0.0882236325117419
"2.50.1",50,1,2,0.0525755645718546
"3.50.1",50,1,3,0
"4.50.1",50,1,4,0.194443320634968
"5.50.1",50,1,5,0.0545122561162641
"1.51.1",51,1,1,0.113243353912361
"2.51.1",51,1,2,0.14508244088275
"3.51.1",51,1,3,0.0392663410093698
"4.51.1",51,1,4,0.05428104349784
"5.51.1",51,1,5,0.060021296334619
"1.53.1",53,1,1,0.100294988720211
"2.53.1",53,1,2,0.125062559771653
"3.53.1",53,1,3,0.0743778040858825
"4.53.1",53,1,4,0.0745780517897102
"5.53.1",53,1,5,0.124968230416583
"1.54.1",54,1,1,0.152266161305119
"2.54.1",54,1,2,0.119822916453954
"3.54.1",54,1,3,0.161853722398318
"4.54.1",54,1,4,0.168331461830407
"5.54.1",54,1,5,0.128563711196867
"1.55.1",55,1,1,0.114471830600926
"2.55.1",55,1,2,0.1437771571713
"3.55.1",55,1,3,0.0900585811842631
"4.55.1",55,1,4,0.0586551219876801
"5.55.1",55,1,5,0.176789511743817
"1.56.1",56,1,1,0.0827211768383055
"2.56.1",56,1,2,0.215534518235358
"3.56.1",56,1,3,0.0982587999407337
"4.56.1",56,1,4,0.0276186467467979
"5.56.1",56,1,5,0.0704878031784628
"1.66.1",66,1,1,0.0576444746794401
"2.66.1",66,1,2,0
"3.66.1",66,1,3,0.0914277658881556
"4.66.1",66,1,4,0.0958798284102227
"5.66.1",66,1,5,0.0669401407313795
"1.72.1",72,1,1,0.509551745706136
"2.72.1",72,1,2,0
"3.72.1",72,1,3,0.149240204286184
"4.72.1",72,1,4,0.0287090430316662
"5.72.1",72,1,5,1
"1.78.1",78,1,1,0.0531046591501916
"2.78.1",78,1,2,0.134241875843109
"3.78.1",78,1,3,0.0893686054495748
"4.78.1",78,1,4,0.23895053296038
"5.78.1",78,1,5,0
"1.1.2",1,2,1,0.167152238495317
"2.1.2",1,2,2,0.199699739721714
"3.1.2",1,2,3,0.217337034391974
"4.1.2",1,2,4,0.136783774144119
"5.1.2",1,2,5,0.136292866719663
"1.2.2",2,2,1,0.119377160377383
"2.2.2",2,2,2,0.0877419912641121
"3.2.2",2,2,3,0.12845358722974
"4.2.2",2,2,4,0.0814008831645781
"5.2.2",2,2,5,0.0705633975218392
