"","fips","sex","x.race.g1","x.michd","fips","sex","x.race.g1","cvdinfr4","fips","sex","x.race.g1","cvdstrk3","fips","sex","x.race.g1","cvdcrhd4"
"2.30.1",30,1,2,0.00297814053451601,27,1,3,0.0317475068313715,27,1,3,0.0633961788896387,27,1,3,0.0146346696494718
"3.30.1",30,1,3,0,28,1,3,0,28,1,3,0.0523789153341441,28,1,3,0
"4.30.1",30,1,4,0.104511908988666,29,1,3,0.0241679946580104,29,1,3,0.0401260934376172,29,1,3,0.00942690766062259
"5.30.1",30,1,5,0.0990007441721562,30,1,3,0,30,1,3,0.00230166908885933,30,1,3,0
"1.31.1",31,1,1,0.0795826233033949,31,1,3,0.0192255210630207,31,1,3,0.0071192625518974,31,1,3,0.00624233321486989
"2.31.1",31,1,2,0.00951007147352433,32,1,3,0.0453668467479038,32,1,3,0.0136119394335747,32,1,3,0.0305032900065251
"3.31.1",31,1,3,0.0220768936794126,33,1,3,0.0352295393783876,33,1,3,0.0904555401846168,33,1,3,0.0570466086035374
"4.31.1",31,1,4,0.0469933231440535,34,1,3,0.0557282095953447,34,1,3,0.100739889545136,34,1,3,0.0373277999111298
"5.31.1",31,1,5,0.109641136180093,35,1,3,0.0500089422546783,35,1,3,0.0575163598328988,35,1,3,0.0515132657666503
"1.32.1",32,1,1,0.0978798596125784,36,1,3,0.0300339207255992,36,1,3,0.0244220587063793,36,1,3,0.0440246937204376
"2.32.1",32,1,2,0.130192677003011,37,1,3,0.00767672396701066,37,1,3,0.00406169321743372,37,1,3,0.0239945958661068
"3.32.1",32,1,3,0.0612290532765302,38,1,3,0.0554570374081025,38,1,3,0,38,1,3,0.102942652257066
"4.32.1",32,1,4,0.0475329755312715,39,1,3,0.0926555282161758,39,1,3,0.104962586669259,39,1,3,0.0254391660211529
"5.32.1",32,1,5,0.0821380500460968,40,1,3,0.0115469599498807,40,1,3,0.0708344108368233,40,1,3,0.00957208957955106
"1.33.1",33,1,1,0.093151635186543,41,1,3,0.0380668685120959,41,1,3,0.0321560086695118,41,1,3,0.0318060480664145
"2.33.1",33,1,2,0.00913595211374233,42,1,3,0.0668073406898948,42,1,3,0.270916680797203,42,1,3,0.245076155220089
"3.33.1",33,1,3,0.0570466086035374,44,1,3,0.0465596098156986,44,1,3,0.0107874079242919,44,1,3,0.0177611404036281
"4.33.1",33,1,4,0.0711379744519647,45,1,3,0.00943327600356936,45,1,3,0.364923389359761,45,1,3,0.00846171057599746
"5.33.1",33,1,5,0.0396006408010911,46,1,3,0.0259326149200285,46,1,3,0,46,1,3,0.0174090366716741
"1.34.1",34,1,1,0.0962233623458511,47,1,3,0.0208096851556201,47,1,3,0.0117920911080703,47,1,3,0.0125083265977405
"2.34.1",34,1,2,0.065251125491315,48,1,3,0.0386681333281751,48,1,3,0.0585749984847674,48,1,3,0.0585405121955641
"3.34.1",34,1,3,0.067423108556747,49,1,3,0.0179931172856805,49,1,3,0.00298974749398887,49,1,3,0.0133735246624157
"4.34.1",34,1,4,0.0521739979261538,50,1,3,0,50,1,3,0,50,1,3,0
"5.34.1",34,1,5,0.00701986576509779,51,1,3,0.053471421769371,51,1,3,0.00539887466346584,51,1,3,0.0736307165715917
"1.35.1",35,1,1,0.0919189175612715,53,1,3,0.0186952521069577,53,1,3,0.0141393221218021,53,1,3,0.0125586029429389
"2.35.1",35,1,2,0,54,1,3,0,54,1,3,0.0153048252686356,54,1,3,0.0383733884303645
"3.35.1",35,1,3,0.077002118365045,55,1,3,0.0233188600397546,55,1,3,0.0298885016961587,55,1,3,0.00772975471697611
"4.35.1",35,1,4,0.0806744612575744,56,1,3,0.0691343379698909,56,1,3,0.0360808772233526,56,1,3,0.0599546274624064
"5.35.1",35,1,5,0.0566588690976274,66,1,3,0.0557617146778423,66,1,3,0.0246847677877427,66,1,3,0.0584553239760675
"1.36.1",36,1,1,0.0804553533217823,72,1,3,0.0637725622581947,72,1,3,0.0418745295518935,72,1,3,0.0762828877244185
"2.36.1",36,1,2,0.0514634847952,78,1,3,0.000564188878866211,78,1,3,0.0125947967330218,78,1,3,0.00295735738072292
"3.36.1",36,1,3,0.042343698984519,1,1,4,0.0658046265973946,1,1,4,0.0143743376520268,1,1,4,0.0899603086657116
"4.36.1",36,1,4,0.0732031468023963,2,1,4,0.0799008677925581,2,1,4,0.0535329478102842,2,1,4,0.0193089883294057
"5.36.1",36,1,5,0.0802963049789609,4,1,4,0.0292066825768351,4,1,4,0.0417000448044319,4,1,4,0.0194345563419154
"1.37.1",37,1,1,0.0968928176145839,5,1,4,0.0257234169638021,5,1,4,0.00673099283609083,5,1,4,0.0602754781016068
"2.37.1",37,1,2,0.0777993841662216,6,1,4,0.0359373811512781,6,1,4,0.0389828235923278,6,1,4,0.0417283187153347
"3.37.1",37,1,3,0.0302545897737367,8,1,4,0.068544748771885,8,1,4,0.114067404164131,8,1,4,0.0270130112957872
"4.37.1",37,1,4,0.0321438864851806,9,1,4,0.0306844010754726,9,1,4,0.0284260517601926,9,1,4,0.0640866196764163
"5.37.1",37,1,5,0.0531106507124944,10,1,4,0.0733049055557917,10,1,4,0.148901224271117,10,1,4,0.0129224180376435
"1.38.1",38,1,1,0.0808088034034906,11,1,4,0,11,1,4,0.207537080914735,11,1,4,0.0127611976319872
"2.38.1",38,1,2,0.0642623782098933,12,1,4,0.0315222288618112,12,1,4,0.0114350800508159,12,1,4,0.0735634005808634
