"","fips","sex","x.race.g1","x.rfbmi5"
"3.33.1",33,1,3,0.584400412765925
"4.33.1",33,1,4,0.53140213966649
"5.33.1",33,1,5,0.75082400911167
"1.34.1",34,1,1,0.743786198922608
"2.34.1",34,1,2,0.71746431103973
"3.34.1",34,1,3,0.771860801325297
"4.34.1",34,1,4,0.544854071495776
"5.34.1",34,1,5,0.566162471872689
"1.35.1",35,1,1,0.682504371707347
"2.35.1",35,1,2,0.588221020234403
"3.35.1",35,1,3,0.723995078868324
"4.35.1",35,1,4,0.654218295948264
"5.35.1",35,1,5,0.83622073243381
"1.36.1",36,1,1,0.686233273811431
"2.36.1",36,1,2,0.682150628235514
"3.36.1",36,1,3,0.685865524121123
"4.36.1",36,1,4,0.494366505554526
"5.36.1",36,1,5,0.671286435962013
"1.37.1",37,1,1,0.717951547092835
"2.37.1",37,1,2,0.750995956480706
"3.37.1",37,1,3,0.666432326957798
"4.37.1",37,1,4,0.607670497643985
"5.37.1",37,1,5,0.505671449757042
"1.38.1",38,1,1,0.753686262791716
"2.38.1",38,1,2,0.426694040384497
"3.38.1",38,1,3,0.72508715751799
"4.38.1",38,1,4,0.672974883298452
"5.38.1",38,1,5,0.551146595607844
"1.39.1",39,1,1,0.717655820975412
"2.39.1",39,1,2,0.686055967393302
"3.39.1",39,1,3,0.592623866404936
"4.39.1",39,1,4,0.601508728403737
"5.39.1",39,1,5,0.730097061003096
"1.40.1",40,1,1,0.746485926249896
"2.40.1",40,1,2,0.81953189022911
"3.40.1",40,1,3,0.815533312459686
"4.40.1",40,1,4,0.659065989852313
"5.40.1",40,1,5,0.708652310237657
"1.41.1",41,1,1,0.682382391743988
"2.41.1",41,1,2,0.892363913018273
"3.41.1",41,1,3,0.726605120473747
"4.41.1",41,1,4,0.625846547389828
"5.41.1",41,1,5,0.632887854936043
"1.42.1",42,1,1,0.742228689210287
"2.42.1",42,1,2,0.644043916821613
"3.42.1",42,1,3,0.68112087169258
"4.42.1",42,1,4,0.370464514129818
"5.42.1",42,1,5,0.697348532453169
"1.44.1",44,1,1,0.702774611622776
"2.44.1",44,1,2,0.629871252653394
"3.44.1",44,1,3,0.794904234331529
"4.44.1",44,1,4,0.671381326549733
"5.44.1",44,1,5,0.586630149785592
"1.45.1",45,1,1,0.725824058242387
"2.45.1",45,1,2,0.722250575559494
"3.45.1",45,1,3,0.626324647584456
"4.45.1",45,1,4,0.604598714873225
"5.45.1",45,1,5,0.668982581405482
"1.46.1",46,1,1,0.741562278617601
"2.46.1",46,1,2,0.560193595452893
"3.46.1",46,1,3,0.790320314795124
"4.46.1",46,1,4,0.729741025848144
"5.46.1",46,1,5,0.658194781775968
"1.47.1",47,1,1,0.755788428378014
"2.47.1",47,1,2,0.721278728787169
"3.47.1",47,1,3,0.640290509705091
"4.47.1",47,1,4,0.61611967111522
"5.47.1",47,1,5,0.683143499003113
"1.48.1",48,1,1,0.729691798134714
"2.48.1",48,1,2,0.763332644150222
"3.48.1",48,1,3,0.767668462770347
"4.48.1",48,1,4,0.595114797453135
"5.48.1",48,1,5,0.664184479324725
"1.49.1",49,1,1,0.673783208721851
"2.49.1",49,1,2,0.615924244812687
"3.49.1",49,1,3,0.706260332694593
"4.49.1",49,1,4,0.580968959809591
"5.49.1",49,1,5,0.617916855339967
"1.50.1",50,1,1,0.70914030566244
"2.50.1",50,1,2,0.674920599779577
"3.50.1",50,1,3,0.713911703688358
"4.50.1",50,1,4,0.705740846336998
"5.50.1",50,1,5,0.454608977983006
"1.51.1",51,1,1,0.708140010517968
"2.51.1",51,1,2,0.737144637013522
"3.51.1",51,1,3,0.677431361475651
"4.51.1",51,1,4,0.660347483181576
"5.51.1",51,1,5,0.748506669926021
"1.53.1",53,1,1,0.712062136546138
"2.53.1",53,1,2,0.65119010699617
