fips,sex,x.race.g1,x.rfbmi5
39,2,5,0.642567081
40,2,1,0.621048977
40,2,2,0.698447282
40,2,3,0.712423945
40,2,4,0.56243254
40,2,5,0.621804882
41,2,1,0.564423388
41,2,2,0.459787064
41,2,3,0.610198667
41,2,4,0.522844049
41,2,5,0.610506041
42,2,1,0.568323221
42,2,2,0.797417403
42,2,3,0.58561851
42,2,4,0.45261727
42,2,5,0.777955412
44,2,1,0.545654702
44,2,2,0.690765467
44,2,3,0.716255311
44,2,4,0.348878992
44,2,5,0.485948807
45,2,1,0.570376716
45,2,2,0.790422399
45,2,3,0.596056961
45,2,4,0.471395059
45,2,5,0.686599987
46,2,1,0.595432809
46,2,2,0.391850661
46,2,3,0.678441099
46,2,4,0.590584379
46,2,5,0.783482633
47,2,1,0.601053033
47,2,2,0.772867251
47,2,3,0.558508425
47,2,4,0.681330083
47,2,5,0.633056122
48,2,1,0.591615906
48,2,2,0.66905336
48,2,3,0.695950611
48,2,4,0.373068064
48,2,5,0.468259216
49,2,1,0.517377724
49,2,2,0.464095527
49,2,3,0.601658773
49,2,4,0.552497527
49,2,5,0.472417454
50,2,1,0.532912799
50,2,2,0.673484358
50,2,3,0.475013682
50,2,4,0.216084136
50,2,5,0.538431207
51,2,1,0.56809478
51,2,2,0.78472816
51,2,3,0.629034188
51,2,4,0.398654336
51,2,5,0.56872267
53,2,1,0.577260405
53,2,2,0.762152867
53,2,3,0.660243027
53,2,4,0.348366426
53,2,5,0.594591315
54,2,1,0.660020844
54,2,2,0.758502339
54,2,3,0.765155837
54,2,4,0.43065834
54,2,5,0.599856399
55,2,1,0.595185547
55,2,2,0.729424993
55,2,3,0.571970255
55,2,4,0.42387316
55,2,5,0.679304987
56,2,1,0.55479412
56,2,2,0.770037005
56,2,3,0.651842382
56,2,4,0.667457645
56,2,5,0.535558929
66,2,1,0.633719538
66,2,2,0.944839922
66,2,3,0.731816016
66,2,4,0.596259489
66,2,5,0.549460378
72,2,1,0.450371396
72,2,2,0.824789096
72,2,3,0.650051028
72,2,4,0.520703328
78,2,1,0.458283501
78,2,2,0.766264596
78,2,3,0.812618213
78,2,4,0.854531384
78,2,5,0.856664594
1,3,1,0.685638987
2,3,1,0.679842845
4,3,1,0.625769296
5,3,1,0.678496283
6,3,1,0.593458121
8,3,1,0.554980354
9,3,1,0.606806445
10,3,1,0.678045411
11,3,1,0.391969612
12,3,1,0.620144845
13,3,1,0.64547259
15,3,1,0.546742387
16,3,1,0.647020673
17,3,1,0.6462838
18,3,1,0.664554249
19,3,1,0.6886751
20,3,1,0.658240175
21,3,1,0.692487743
22,3,1,0.664340527
23,3,1,0.652655934
24,3,1,0.636194295
25,3,1,0.599386618
26,3,1,0.668675637
27,3,1,0.648327993
28,3,1,0.679965692
29,3,1,0.665492975
30,3,1,0.629455113
31,3,1,0.679253771
32,3,1,0.615999729
33,3,1,0.639862342
34,3,1,0.623865611
35,3,1,0.606121446
36,3,1,0.597968987
37,3,1,0.64956404
38,3,1,0.691904338
39,3,1,0.661246567
40,3,1,0.683475059
41,3,1,0.623428994
42,3,1,0.655817462
44,3,1,0.624206066
45,3,1,0.647806018
46,3,1,0.670717094
47,3,1,0.679700625
48,3,1,0.661830328
49,3,1,0.597946984
50,3,1,0.621257066
51,3,1,0.639698967
53,3,1,0.64660164
54,3,1,0.709372634
55,3,1,0.668803517
56,3,1,0.63877888
66,3,1,0.740511384
72,3,1,0.527471001
78,3,1,0.561497717
1,3,2,0.746046628
2,3,2,0.741621443
4,3,2,0.565043895
5,3,2,0.750640921
6,3,2,0.666115105
8,3,2,0.667344755
9,3,2,0.702081373
10,3,2,0.739938102
11,3,2,0.686599685
12,3,2,0.666501561
13,3,2,0.703339828
15,3,2,0.721008061
16,3,2,0.241154469
17,3,2,0.736485373
18,3,2,0.768060255
19,3,2,0.713213129
20,3,2,0.788412778
21,3,2,0.733798399
22,3,2,0.753943742
23,3,2,0.661528235
24,3,2,0.71780537
25,3,2,0.664055864
26,3,2,0.743042342
27,3,2,0.667167052
28,3,2,0.779419861
29,3,2,0.749042693
30,3,2,0.492665221
31,3,2,0.724289796
32,3,2,0.724970525
33,3,2,0.703679706
34,3,2,0.736537063
35,3,2,0.486694421
36,3,2,0.699370597
37,3,2,0.759658764
38,3,2,0.35889488
39,3,2,0.713946999
40,3,2,0.758186068
41,3,2,0.770989668
42,3,2,0.729927965
44,3,2,0.660812176
45,3,2,0.758893285
46,3,2,0.492682008
47,3,2,0.74918297
48,3,2,0.712511879
49,3,2,0.581940151
50,3,2,0.674604412
51,3,2,0.761473206
53,3,2,0.703476911
54,3,2,0.780246761
55,3,2,0.696596008
56,3,2,0.606123732
66,3,2,0.788844765
72,3,2,0.710961937
78,3,2,0.657348323
1,3,3,0.667779577
2,3,3,0.680691604
4,3,3,0.681476381
5,3,3,0.605442579
6,3,3,0.715028408
8,3,3,0.678538334
9,3,3,0.69046196
10,3,3,0.638415657
11,3,3,0.506189721
12,3,3,0.676289778
13,3,3,0.705622625
15,3,3,0.631281258
16,3,3,0.698044139
17,3,3,0.693141946
18,3,3,0.678188234
19,3,3,0.659997497
20,3,3,0.731510673
21,3,3,0.626991874
22,3,3,0.693218344
23,3,3,0.667738849
24,3,3,0.668353019
25,3,3,0.660906075
26,3,3,0.720653815
27,3,3,0.725226939
28,3,3,0.635235149
29,3,3,0.66675832
30,3,3,0.621680651
31,3,3,0.744038909
32,3,3,0.669880723
33,3,3,0.564180939
34,3,3,0.740008109
35,3,3,0.689433522
36,3,3,0.660084286
37,3,3,0.663102709
38,3,3,0.606197553
39,3,3,0.644737216
40,3,3,0.767093547
41,3,3,0.670623497
42,3,3,0.636398647
44,3,3,0.752025275
45,3,3,0.612291859
46,3,3,0.733698099
47,3,3,0.604151551
48,3,3,0.734471694
49,3,3,0.655720076
50,3,3,0.606594002
51,3,3,0.655166039
53,3,3,0.727235219
54,3,3,0.68069186
55,3,3,0.613043733
56,3,3,0.68702826
66,3,3,0.736054575
