"","fips","sex","x.race.g1","variable","value"
"261",18,2,3,"x.michd",0.019756285
"262",18,2,4,"x.michd",0.049810589
"263",18,2,5,"x.michd",0.103576814
"264",18,2,6,"x.michd",0.060836702
"265",18,3,1,"x.michd",0.079330578
"266",18,3,2,"x.michd",0.069116542
"267",18,3,3,"x.michd",0.03123692
"268",18,3,4,"x.michd",0.037786422
"269",18,3,5,"x.michd",0.0737427
"270",18,3,6,"x.michd",0.074637419
"271",19,1,1,"x.michd",0.08468517
"272",19,1,2,"x.michd",0.055634078
"273",19,1,3,"x.michd",0.011994888
"274",19,1,4,"x.michd",0.055595761
"275",19,1,5,"x.michd",0.159840853
"276",19,1,6,"x.michd",0.080670727
"277",19,2,1,"x.michd",0.04655679
"278",19,2,2,"x.michd",0.081873661
"279",19,2,3,"x.michd",0.013454659
"280",19,2,4,"x.michd",0.053484827
"281",19,2,5,"x.michd",0.083416698
"282",19,2,6,"x.michd",0.046524196
"283",19,3,1,"x.michd",0.065268576
"284",19,3,2,"x.michd",0.068024874
"285",19,3,3,"x.michd",0.012826356
"286",19,3,4,"x.michd",0.054729115
"287",19,3,5,"x.michd",0.10768954
"288",19,3,6,"x.michd",0.063215272
"289",20,1,1,"x.michd",0.089774697
"290",20,1,2,"x.michd",0.070817007
"291",20,1,3,"x.michd",0.030403013
"292",20,1,4,"x.michd",0.050128757
"293",20,1,5,"x.michd",0.095467809
"294",20,1,6,"x.michd",0.081185571
"295",20,2,1,"x.michd",0.050921817
"296",20,2,2,"x.michd",0.038725023
"297",20,2,3,"x.michd",0.009800757
"298",20,2,4,"x.michd",0.047477989
"299",20,2,5,"x.michd",0.054594017
"300",20,2,6,"x.michd",0.046456703
"301",20,3,1,"x.michd",0.069897141
"302",20,3,2,"x.michd",0.054179506
"303",20,3,3,"x.michd",0.020743292
"304",20,3,4,"x.michd",0.048790757
"305",20,3,5,"x.michd",0.076189329
"306",20,3,6,"x.michd",0.063582844
"307",21,1,1,"x.michd",0.130789803
"308",21,1,2,"x.michd",0.085986734
"309",21,1,3,"x.michd",0.018471435
"310",21,1,4,"x.michd",0.119121065
"311",21,1,5,"x.michd",0.245418438
"312",21,1,6,"x.michd",0.125184898
"313",21,2,1,"x.michd",0.093765412
"314",21,2,2,"x.michd",0.058760404
"315",21,2,3,"x.michd",0.108157854
"316",21,2,4,"x.michd",0.020207048
"317",21,2,5,"x.michd",0.206321618
"318",21,2,6,"x.michd",0.091103788
"319",21,3,1,"x.michd",0.111619202
"320",21,3,2,"x.michd",0.071929859
"321",21,3,3,"x.michd",0.065401539
"322",21,3,4,"x.michd",0.077622243
"323",21,3,5,"x.michd",0.231336454
"324",21,3,6,"x.michd",0.107648706
"325",22,1,1,"x.michd",0.116379428
"326",22,1,2,"x.michd",0.067862455
"327",22,1,3,"x.michd",0.015786884
"328",22,1,4,"x.michd",0.132345074
"329",22,1,5,"x.michd",0.145683103
"330",22,1,6,"x.michd",0.097503641
"331",22,2,1,"x.michd",0.078034682
"332",22,2,2,"x.michd",0.053402412
"333",22,2,3,"x.michd",0.031833926
"334",22,2,4,"x.michd",0.049950554
"335",22,2,5,"x.michd",0.083542717
"336",22,2,6,"x.michd",0.067661646
"337",22,3,1,"x.michd",0.096690582
"338",22,3,2,"x.michd",0.059780086
"339",22,3,3,"x.michd",0.022360781
"340",22,3,4,"x.michd",0.095579605
"341",22,3,5,"x.michd",0.120162009
"342",22,3,6,"x.michd",0.082013449
