dia,fips,sex,race,diabete3
1,18,1,5,0.084601216
1,19,1,1,0.095355556
1,19,1,2,0.033322287
1,19,1,3,0.066789256
1,19,1,4,0.068358122
1,19,1,5,0.050764218
1,20,1,1,0.099985529
1,20,1,2,0.15492164
1,20,1,3,0.061885899
1,20,1,4,0.087599543
1,20,1,5,0.093263067
1,21,1,1,0.142468743
1,21,1,2,0.122443959
1,21,1,3,0.043737138
1,21,1,4,0.176273909
1,21,1,5,0.202617421
1,22,1,1,0.112727616
1,22,1,2,0.108365239
1,22,1,3,0.101999097
1,22,1,4,0.151796801
1,22,1,5,0.126250379
1,23,1,1,0.114260407
1,23,1,2,0.049593443
1,23,1,3,0.0713014
1,23,1,4,0.078976429
1,23,1,5,0.164476041
1,24,1,1,0.111082486
1,24,1,2,0.144812394
1,24,1,3,0.079900632
1,24,1,4,0.072104751
1,24,1,5,0.115093692
1,25,1,1,0.097401597
1,25,1,2,0.140334911
1,25,1,3,0.081125289
1,25,1,4,0.064976618
1,25,1,5,0.235976651
1,26,1,1,0.121346974
1,26,1,2,0.145221909
1,26,1,3,0.101267665
1,26,1,4,0.071955767
1,26,1,5,0.128513717
1,27,1,1,0.093889296
1,27,1,2,0.086621208
1,27,1,3,0.065574149
1,27,1,4,0.089346725
1,27,1,5,0.063216525
1,28,1,1,0.123324191
1,28,1,2,0.151334698
1,28,1,3,0.103167723
1,28,1,4,0.110057942
1,28,1,5,0.114357046
1,29,1,1,0.124140551
1,29,1,2,0.13221164
1,29,1,3,0.075384261
1,29,1,4,0.065111097
1,29,1,5,0.115988023
1,30,1,1,0.078554737
1,30,1,2,0.108359273
1,30,1,3,0.048702184
1,30,1,4,0.158107578
1,30,1,5,0.085734848
1,31,1,1,0.087349913
1,31,1,2,0.081538126
1,31,1,3,0.056340243
1,31,1,4,0.1169827
1,31,1,5,0.199464811
1,32,1,1,0.122977371
1,32,1,2,0.160188435
1,32,1,3,0.078056543
1,32,1,4,0.071108977
1,32,1,5,0.023015152
1,33,1,1,0.106516865
1,33,1,2,0.019411302
1,33,1,3,0.157812336
1,33,1,4,0.081766425
1,33,1,5,0.089645955
1,34,1,1,0.09101507
1,34,1,2,0.165697017
1,34,1,3,0.093992171
1,34,1,4,0.066403508
1,34,1,5,0.014766377
1,35,1,1,0.100560842
1,35,1,2,0.099977539
1,35,1,3,0.12010802
1,35,1,4,0.221286288
1,35,1,5,0.055217489
1,36,1,1,0.100154977
1,36,1,2,0.122792851
1,36,1,3,0.103811725
1,36,1,4,0.122163681
1,36,1,5,0.094880761
1,37,1,1,0.108098143
1,37,1,2,0.131049023
1,37,1,3,0.064054377
1,37,1,4,0.070242996
1,37,1,5,0.154865153
1,38,1,1,0.095711906
1,38,1,2,0.122474703
