fips,value,metric
12,0.719589029,3
13,0.72713913,3
15,0.847165375,3
16,0.723231336,3
17,0.821435438,3
18,0.817361869,3
19,0.833862554,3
20,0.775985723,3
21,0.796103906,3
22,0.75370199,3
23,0.881083235,3
24,0.847760792,3
25,0.889057153,3
26,0.852192481,3
27,0.727271622,3
28,0.773806673,3
29,0.779546783,3
30,0.736106341,3
31,0.809313476,3
32,0.692496037,3
33,0.878625758,3
34,0.822700244,3
35,0.701043936,3
36,0.833768293,3
37,0.787543562,3
38,0.738952392,3
39,0.826631415,3
40,0.752843215,3
41,0.785638573,3
42,0.857750681,3
44,0.871787698,3
45,0.784231534,3
46,0.760263096,3
47,0.780051113,3
48,0.6890682,3
49,0.727577482,3
50,0.880460517,3
51,0.779350577,3
53,0.756842362,3
54,0.804984379,3
55,0.828799334,3
56,0.689021432,3
66,0.680367242,3
72,0.830207715,3
78,0.669834789,3
1,0.773889819,4
2,0.86168906,4
4,0.814379066,4
5,0.744314632,4
6,0.821558035,4
8,0.855356048,4
9,0.856345573,4
10,0.835833018,4
11,0.884893217,4
12,0.805058514,4
13,0.809046254,4
15,0.852403827,4
16,0.841273005,4
17,0.81966781,4
18,0.815306321,4
19,0.860753788,4
20,0.846116586,4
21,0.7753309,4
22,0.781081096,4
23,0.836325023,4
24,0.855783178,4
25,0.859404482,4
26,0.819727025,4
27,0.873031444,4
28,0.768229139,4
29,0.810035299,4
30,0.84419152,4
31,0.853230095,4
32,0.790579701,4
33,0.859430209,4
34,0.824508513,4
35,0.78339117,4
36,0.830920568,4
37,0.817090149,4
38,0.851821521,4
39,0.820037508,4
40,0.798545208,4
41,0.835986774,4
42,0.834282116,4
44,0.843628175,4
45,0.799834139,4
46,0.869727813,4
47,0.795819764,4
48,0.816882852,4
49,0.883042244,4
50,0.865354522,4
51,0.836867961,4
53,0.856341014,4
54,0.737366544,4
55,0.840426522,4
56,0.843482368,4
66,0.781860397,4
72,0.656603382,4
78,0.797123215,4
1,0.090885627,5
2,0.043773273,5
4,0.068072684,5
5,0.101352572,5
6,0.048794036,5
8,0.048417072,5
9,0.056999206,5
10,0.070475132,5
11,0.040334377,5
12,0.075370974,5
13,0.06897903,5
15,0.056352479,5
16,0.061061715,5
17,0.059739394,5
18,0.074637419,5
19,0.063215272,5
20,0.063582844,5
21,0.107648706,5
22,0.082013449,5
23,0.079171846,5
24,0.058518493,5
25,0.064218611,5
26,0.076380669,5
27,0.054249657,5
28,0.090105066,5
29,0.078990089,5
30,0.061957947,5
31,0.059147863,5
32,0.069156406,5
33,0.063312812,5
34,0.063018528,5
35,0.069542313,5
36,0.060513291,5
37,0.071354492,5
38,0.065210873,5
39,0.073565376,5
40,0.077917016,5
41,0.0663853,5
42,0.072649055,5
44,0.061373546,5
45,0.070538722,5
46,0.07422271,5
47,0.083851559,5
48,0.059379472,5
49,0.038912219,5
50,0.060580862,5
51,0.06268955,5
53,0.057954011,5
54,0.118625584,5
55,0.066675117,5
56,0.061526867,5
66,0.058350252,5
72,0.110319491,5
78,0.039049226,5
1,0.064262389,6
2,0.032554635,6
4,0.049605101,6
5,0.071761855,6
6,0.033055023,6
8,0.0373301,6
9,0.042990972,6
10,0.052267206,6
11,0.02845349,6
12,0.05598856,6
13,0.052396238,6
15,0.037590913,6
16,0.044057906,6
17,0.045771568,6
18,0.060420503,6
19,0.047431172,6
20,0.051097757,6
21,0.081661944,6
22,0.062280734,6
23,0.054308211,6
24,0.042326458,6
25,0.049446946,6
26,0.053479883,6
27,0.03851139,6
28,0.062950995,6
29,0.053482907,6
30,0.045729415,6
31,0.043484217,6
32,0.05659816,6
33,0.046399762,6
34,0.044143352,6
35,0.053263148,6
36,0.040366592,6
37,0.047303421,6
38,0.044693142,6
39,0.056109199,6
40,0.05747898,6
41,0.049760785,6
42,0.049406409,6
44,0.050056486,6
45,0.052744868,6
46,0.047528727,6
47,0.061555263,6
48,0.038662361,6
49,0.030136461,6
50,0.047105412,6
51,0.048782942,6
53,0.044096811,6
54,0.079012339,6
55,0.045052949,6
56,0.050776524,6
66,0.033292475,6
72,0.063601066,6
78,0.028803776,6
1,0.059712734,7
2,0.029075849,7
4,0.067050117,7
5,0.062409187,7
6,0.041451234,7
8,0.038721226,7
9,0.046888993,7
10,0.049912832,7
11,0.058424355,7
12,0.053956472,7
13,0.050717896,7
15,0.035773068,7
16,0.042711832,7
17,0.031840856,7
18,0.048487842,7
19,0.043387293,7
20,0.04609331,7
21,0.060049919,7
22,0.042886982,7
23,0.037052053,7
24,0.044585196,7
25,0.047409098,7
26,0.053797756,7
27,0.033171803,7
28,0.062279735,7
29,0.058743069,7
30,0.044950661,7
31,0.044814702,7
32,0.04242867,7
33,0.043058647,7
34,0.040875105,7
35,0.046801422,7
36,0.037090554,7
37,0.051292552,7
38,0.03562103,7
39,0.046018096,7
40,0.069035414,7
41,0.05235478,7
42,0.059845818,7
44,0.038982348,7
45,0.060907585,7
46,0.029721033,7
47,0.059132734,7
48,0.038485104,7
49,0.031416639,7
50,0.039217748,7
51,0.041391819,7
53,0.057501762,7
54,0.075020542,7
55,0.038996771,7
56,0.037735503,7
66,0.03901702,7
72,0.036444711,7
78,0.017541156,7
1,0.081429528,8
2,0.049449077,8
4,0.058737442,8
5,0.109793989,8
